City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,bor,56.3567,44.0669,39.0,91,17,3.71,RU,1699660608
112,qui nhon,13.7667,109.2333,77.7,90,81,6.04,VN,1699660608
113,invercargill,-46.4,168.35,64.98,34,0,4.25,NZ,1699659989
114,preobrazheniye,42.9019,133.9064,24.71,47,6,9.71,RU,1699660610
115,fort bragg,35.139,-79.006,57.34,64,100,10.36,US,1699660073
116,stanley,54.868,-1.6985,40.28,93,0,8.05,GB,1699660615
117,paita,-5.0892,-81.1144,68.05,81,9,15.66,PE,1699660618
118,itoman,26.1247,127.6694,75.58,83,75,14.97,JP,1699660011
119,alice springs,-23.7,133.8833,85.55,35,2,6.91,AU,1699660030
120,tralee,52.2704,-9.7026,45.41,86,89,4.99,IE,1699660625
121,gisborne,-38.6533,178.0042,57.58,59,13,12.35,NZ,1699660421
122,taltal,-25.4,-70.4833,67.37,69,18,5.53,CL,1699660632
123,tromso,69.6496,18.957,30.22,93,75,3.44,NO,1699660636
124,umm kaddadah,13.6017,26.6876,80.17,25,73,11.86,SD,1699660637
125,kapuskasing,49.4169,-82.4331,24.89,80,75,8.05,CA,1699660638
126,chonchi,-42.6128,-73.8092,51.12,83,100,12.03,CL,1699660640
127,santander,43.4647,-3.8044,56.3,97,75,5.99,ES,1699660570
128,nadi,-17.8,177.4167,87.8,55,40,16.11,FJ,1699660643
129,ust-nera,64.5667,143.2,-24.03,97,56,3.74,RU,1699660559
130,taunggyi,20.7833,97.0333,58.71,95,49,1.07,MM,1699660653
131,shalkar,47.8288,59.6258,46.69,76,100,13.35,KZ,1699660657
132,shahrak,34.1074,64.3052,37.78,21,1,2.19,AF,1699660661
133,slovenj gradec,46.5103,15.0806,46.42,95,100,4.25,SI,1699660664
134,hamilton,39.1834,-84.5333,56.25,44,0,4.61,US,1699659981
135,tsiombe,-25.3,45.4833,68.9,65,87,8.99,MG,1699660135
136,stalowa wola,50.5829,22.0533,45.86,72,100,5.73,PL,1699660676
137,lata,40.1629,-8.3327,63.07,98,100,5.99,PT,1699660680
138,loyew,51.9458,30.7953,45.27,83,100,14.34,BY,1699660681
139,port saint john's,-31.6229,29.5448,68.94,90,19,10.63,ZA,1699660683
140,luderitz,-26.6481,15.1594,61.7,87,73,11.23,NA,1699660615
141,grootfontein,-19.5667,18.1167,74.77,50,87,8.05,NA,1699660686
142,minas de marcona,-15.2119,-75.1103,59.86,85,63,13.4,PE,1699660688
143,pyinmana,19.7333,96.2167,71.64,92,71,3.33,MM,1699660691
144,thunder bay,48.4001,-89.3168,31.98,74,100,5.75,CA,1699660505
145,east london,-33.0153,27.9116,67.59,90,36,12.21,ZA,1699660696
146,port lincoln,-34.7333,135.8667,61.41,62,60,17.29,AU,1699660699
147,togur,58.3631,82.8265,24.15,86,100,8.01,RU,1699660701
148,olonkinbyen,70.9221,-8.7187,32.31,80,100,8.16,SJ,1699660704
149,port-vila,-17.7338,168.3219,76.82,72,100,19.35,VU,1699660707
150,weno,7.4515,151.8468,83.3,74,93,13.91,FM,1699660709
151,nerekhta,57.4588,40.5747,38.39,89,97,10.58,RU,1699660712
152,vorgashor,67.5833,63.95,3.31,100,82,4.09,RU,1699660602
153,mammoth lakes,37.6485,-118.9721,47.12,23,0,12.66,US,1699660716
154,talnakh,69.4865,88.3972,20.21,95,100,12.48,RU,1699660720
155,kapa'a,22.0752,-159.319,84.18,79,75,13.8,US,1699660724
156,bokovskaya,49.229,41.8306,43.86,86,4,2.08,RU,1699660726
157,santa terezinha,-29.9002,-50.0904,67.59,86,98,20.89,BR,1699660730
158,kamenka,51.3223,42.7678,36.88,93,7,5.66,RU,1699660731
159,hilo,19.7297,-155.09,83.28,79,100,16.11,US,1699660734
160,grants,35.1473,-107.8514,39.43,81,40,10.36,US,1699660737
161,acarau,-2.8856,-40.12,79.61,78,2,19.06,BR,1699660739
162,cibla,56.55,27.8833,41.83,82,100,7.96,LV,1699660741
163,bakaly,55.1789,53.8028,40.39,92,100,5.68,RU,1699660744
164,les andelys,49.25,1.4167,43.88,89,65,7.09,FR,1699660745
165,sobradinho,-12.8333,-39.1,73.36,87,5,6.49,BR,1699660748
166,arraial do cabo,-22.9661,-42.0278,75.16,94,20,3.44,BR,1699660750
167,bredasdorp,-34.5322,20.0403,64.44,73,89,7.63,ZA,1699660752
168,mount isa,-20.7333,139.5,89.37,43,100,8.05,AU,1699660740
169,georgetown,5.4112,100.3354,80.94,95,20,3.44,MY,1699660644
170,bodaybo,57.8506,114.1933,13.26,96,100,2.15,RU,1699660760
171,alofi,-19.0595,-169.9187,82.29,78,100,3.44,NU,1699660762
172,port macquarie,-31.4333,152.9167,76.89,64,40,15.05,AU,1699660508
173,san pablo villa de mitla,16.9167,-96.4,67.26,79,46,6.31,MX,1699660764
174,luanda,-8.8368,13.2343,78.8,83,75,8.05,AO,1699660737
175,la passe,45.5549,-0.8967,51.98,73,77,7.76,FR,1699660190
176,yeonggwang,35.275,126.5094,37.06,61,63,7.96,KR,1699660768
177,midoun,33.8081,10.9923,66.06,75,92,9.15,TN,1699660772
178,bayanhongor,46.7167,100.1167,-0.42,60,0,3.98,MN,1699660614
179,puerto ayora,-0.7393,-90.3518,75.54,92,55,10.0,EC,1699660777
180,margate,51.3813,1.3862,41.88,86,8,5.01,GB,1699660452
181,portland,45.5234,-122.6762,55.09,82,100,7.0,US,1699660484
182,cidreira,-30.1811,-50.2056,67.82,83,99,24.38,BR,1699660783
183,sovetskaya gavan',48.9723,140.2878,23.11,73,100,14.94,RU,1699660785
184,lappeenranta,61.0587,28.1887,42.85,100,100,3.44,FI,1699660566
185,baiyin,36.5583,104.2081,29.95,43,9,5.21,CN,1699660790
186,prince rupert,54.3161,-130.3201,46.49,84,100,41.43,CA,1699660511
187,aioun,16.6614,-9.6149,78.93,14,0,9.53,MR,1699660794
188,stranraer,54.9023,-5.0273,48.63,75,4,17.16,GB,1699660796
189,gobabis,-22.45,18.9667,73.62,35,73,7.67,NA,1699660800
190,dudinka,69.4058,86.1778,20.68,95,100,18.99,RU,1699660807
191,topolobampo,25.6,-109.05,78.69,47,0,14.0,MX,1699660812
192,chokwe,-24.5333,32.9833,67.48,74,0,7.38,MZ,1699660816
193,ammanford,51.7928,-3.9883,50.59,92,47,5.3,GB,1699660819
194,richards bay,-28.783,32.0377,67.71,82,0,16.13,ZA,1699660821
195,petropavlovsk-kamchatsky,53.0452,158.6483,32.59,98,75,4.0,RU,1699660571
196,cill airne,52.05,-9.5167,42.12,91,99,2.13,IE,1699660826
197,north battleford,52.7834,-108.2847,31.41,100,75,14.97,CA,1699660828
198,boa vista,2.8197,-60.6733,91.38,46,20,8.05,BR,1699660832
199,vorkuta,67.5,64.0,3.76,100,81,4.23,RU,1699660834
200,klyuchi,52.2667,79.1667,38.86,83,93,11.56,RU,1699660837
201,argenta,44.6124,11.8356,48.65,87,84,12.41,IT,1699660840
202,keflavik,64.0049,-22.5624,37.83,87,75,11.5,IS,1699660842
203,hammerfest,70.6634,23.6821,36.05,87,75,11.5,NO,1699660846
204,zalari,53.5584,102.5065,5.02,96,8,3.06,RU,1699660849
205,peace river,56.2501,-117.286,44.91,52,20,11.5,CA,1699660852
206,shimanovsk,52.0,127.7,7.86,77,13,6.04,RU,1699660612
207,west island,-12.1568,96.8225,78.78,83,40,10.36,CC,1699660860
208,puerto aysen,-45.4,-72.7,46.4,99,100,4.7,CL,1699660864
209,kalix,65.853,23.1565,16.66,83,6,8.1,SE,1699660866
210,metlili chaamba,32.2667,3.6333,63.54,45,0,6.91,DZ,1699660757
211,vladivostok,43.1056,131.8735,19.42,53,1,17.83,RU,1699660874
212,dalbandin,28.8947,64.4101,59.99,23,0,4.72,PK,1699660877
213,urengoy,65.9667,78.3667,19.54,95,91,6.64,RU,1699660880
214,tabou,4.423,-7.3528,76.77,90,56,6.53,CI,1699660884
215,akrehamn,59.2667,5.1833,43.41,87,100,4.61,NO,1699660886
216,la maddalena,41.2142,9.4083,60.96,61,4,33.11,IT,1699660890
217,undurkhaan,47.3194,110.6556,-8.84,95,9,5.06,MN,1699660894
218,gadzhiyevo,69.2551,33.3362,16.0,96,34,7.23,RU,1699660895
219,selfoss,63.9331,-20.9971,34.05,76,99,5.57,IS,1699660897
220,jabalya,31.5272,34.4863,69.69,75,90,6.51,PS,1699660878
221,irymple,-34.25,142.1667,83.93,27,81,18.41,AU,1699660900
222,swakopmund,-22.6833,14.5333,61.65,86,66,4.59,NA,1699660901
223,fale old settlement,-9.3852,-171.2468,83.79,76,31,11.05,TK,1699660650
224,vila velha,-20.3297,-40.2925,78.75,90,0,9.22,BR,1699660903
225,brisas de zicatela,15.8369,-97.0419,82.47,79,32,2.48,MX,1699660904
226,vilyuchinsk,52.9306,158.4028,34.07,98,100,2.93,RU,1699660905
227,broome,42.2506,-75.833,45.7,71,94,1.01,US,1699660907
228,horta,38.5333,-28.6333,67.01,95,95,11.01,PT,1699660910
229,mata-utu,-13.2816,-176.1745,83.34,77,99,13.35,WF,1699660913
230,rio gallegos,-51.6226,-69.2181,66.25,27,20,11.5,AR,1699660916
231,mujiayingzi,42.1167,118.7833,15.24,76,2,5.12,CN,1699660918
232,ubari,26.5921,12.7805,70.2,29,0,6.85,LY,1699660920
233,mili,6.0815,171.735,82.69,82,98,20.87,MH,1699660921
234,karpinsk,59.7654,60.0085,31.5,99,100,1.97,RU,1699660922
235,dunedin,-45.8742,170.5036,66.07,64,0,8.01,NZ,1699660888
236,coari,-4.085,-63.1414,85.21,45,8,1.36,BR,1699660926
237,oban,56.4127,-5.4706,43.14,85,12,4.61,GB,1699660928
238,pedro leopoldo,-19.6181,-44.0431,83.77,36,20,10.36,BR,1699660930
239,padang,-0.9492,100.3543,77.05,92,96,0.87,ID,1699660934
240,saldanha,-33.0117,17.9442,59.05,90,48,14.85,ZA,1699660937
241,kuanda,56.3161,116.0806,0.57,94,71,0.29,RU,1699660720
242,sitangkai,4.6628,119.3928,82.58,77,61,5.68,PH,1699660942
243,shimoda,34.6667,138.95,61.16,69,81,17.43,JP,1699660944
244,takoradi,4.8845,-1.7554,78.49,90,85,8.5,GH,1699660946
245,ati,13.2154,18.3353,84.15,16,97,11.65,TD,1699660949
246,lewistown,40.5992,-77.5714,46.17,84,0,9.22,US,1699660951
247,korla,41.7597,86.1469,44.94,49,100,6.96,CN,1699660955
248,coquimbo,-29.9533,-71.3436,62.33,82,20,9.22,CL,1699660852
249,sovata,46.5833,25.0667,43.0,80,93,6.49,RO,1699660962
250,lluta,-16.0147,-72.0142,56.77,61,80,1.99,PE,1699660964
251,koumra,8.9126,17.5539,73.71,87,94,3.65,TD,1699660967
252,udachny,66.4167,112.4,12.81,69,85,10.6,RU,1699660969
253,san antonio de pale,-1.4014,5.6325,78.78,85,99,11.86,GQ,1699660974
254,aykhal,66.0,111.5,14.68,58,86,20.96,RU,1699660977
255,darjiling,27.0333,88.2667,42.96,71,0,6.42,IN,1699660980
256,baukau,51.5526,7.2042,45.97,90,100,5.01,DE,1699660984
257,mantua,45.1667,10.7833,46.98,91,92,7.0,IT,1699660987
258,porto novo,6.4965,2.6036,82.22,83,100,8.43,BJ,1699660971
259,inari,68.906,27.0288,17.8,90,14,5.95,FI,1699660995
260,ashburton,-37.8626,145.0794,71.17,69,49,5.01,AU,1699660998
261,nadym,65.5333,72.5167,19.09,96,100,3.31,RU,1699661001
262,vila franca do campo,37.7167,-25.4333,71.89,99,91,17.13,PT,1699661003
263,khandyga,62.6667,135.6,-30.5,100,67,1.01,RU,1699661005
264,yuzhno-kurilsk,44.0306,145.8556,42.37,88,96,13.96,RU,1699661008
265,tsivil'sk,55.8611,47.4664,34.0,86,7,11.5,RU,1699661010
266,santa rosa de viterbo,-21.4728,-47.3631,75.69,66,48,3.67,BR,1699661012
267,severo-yeniseyskiy,60.3725,93.0408,6.58,94,45,4.0,RU,1699661015
268,port mathurin,-19.6833,63.4167,76.6,78,7,10.07,MU,1699661018
269,itacare,-14.2775,-38.9967,75.96,88,2,7.76,BR,1699661021
270,tateyama,34.9833,139.8667,59.09,70,79,16.31,JP,1699661022
271,walvis bay,-22.9575,14.5053,61.75,82,67,2.3,NA,1699661025
272,cole harbour,44.6724,-63.4751,43.95,76,94,15.01,CA,1699660998
273,kovdor,67.5662,30.4758,9.41,97,51,3.94,RU,1699661031
274,popayan,2.4382,-76.6132,61.68,97,93,2.86,CO,1699661035
275,palu,-0.8917,119.8707,82.94,80,32,1.32,ID,1699661038
276,jinchang,38.4953,102.1739,25.68,44,0,1.86,CN,1699661042
277,vreed-en-hoop,6.8093,-58.198,80.92,82,31,7.81,GY,1699661045
278,balabac,7.9868,117.0645,83.57,77,100,9.1,PH,1699661047
279,lukolela,-1.0605,17.1821,71.17,99,99,2.8,CD,1699661049
280,opuwo,-18.0607,13.84,72.86,36,36,4.59,NA,1699661050
281,malango,-2.9627,119.9001,71.31,90,92,0.45,ID,1699661050
282,mugia,43.1041,-9.2179,62.91,96,100,21.41,ES,1699661052
283,el granada,37.5027,-122.4694,69.48,45,75,6.91,US,1699661055
284,uturoa,-16.7333,-151.4333,80.6,81,99,12.41,PF,1699661058
285,eduardo castex,-35.915,-64.2945,59.07,97,100,2.46,AR,1699661059
286,kasane,-17.8167,25.15,77.18,35,61,3.69,BW,1699661061
287,at taj,24.2049,23.2857,67.48,38,100,9.51,LY,1699661065
288,radviliskis,55.8167,23.5333,41.05,93,92,8.05,LT,1699661068
289,khamharia,20.9833,82.2667,66.2,63,43,0.85,IN,1699661071
290,vohibinany,-17.35,49.0333,72.12,96,91,2.55,MG,1699661074
291,krichim,42.05,24.4667,44.04,78,77,5.88,BG,1699661076
292,burutu,5.3509,5.5076,78.39,89,98,5.82,NG,1699661078
293,tazovsky,67.4667,78.7,14.16,95,43,7.54,RU,1699661050
294,salekhard,66.53,66.6019,11.39,93,86,5.21,RU,1699661079
295,belmonte,-15.8631,-38.8828,77.34,82,2,12.01,BR,1699661081
296,embi,48.8264,58.1442,44.1,65,100,10.0,KZ,1699661082
297,antsiranana,-12.2787,49.2917,75.45,90,15,4.18,MG,1699661082
298,nantucket,41.2835,-70.0995,48.15,64,100,17.54,US,1699660811
299,karratha,-20.7377,116.8463,81.84,37,1,14.14,AU,1699661085
300,al jawf,29.5,38.75,71.15,37,34,6.8,SA,1699661087
301,nsanje,-16.92,35.262,69.96,81,0,4.03,MW,1699661089
302,phan rang-thap cham,11.5667,108.9833,79.18,77,95,5.26,VN,1699661091
303,la'ie,21.6477,-157.9253,87.76,83,58,5.99,US,1699661094
304,anna regina,7.2644,-58.5077,80.19,85,42,9.08,GY,1699661097
305,fort-shevchenko,44.5086,50.263,51.49,62,6,14.72,KZ,1699661099
306,buala,-8.145,159.5921,80.15,87,100,2.19,SB,1699661103
307,seymour,38.9592,-85.8903,50.76,48,0,6.98,US,1699660858
308,susuman,62.7833,148.1667,-18.09,99,86,0.92,RU,1699661107
309,iwaki,37.05,140.8833,54.12,57,81,5.01,JP,1699661111
310,riyadh,24.6877,46.7219,66.34,33,100,5.68,SA,1699661109
311,moose jaw,50.4001,-105.5344,30.45,74,20,9.22,CA,1699660995
312,bikenibeu village,1.3673,173.1241,85.96,79,75,6.91,KI,1699661121
313,balqash,46.8481,74.995,41.68,76,8,9.44,KZ,1699661124
314,pacific grove,36.6177,-121.9166,69.03,59,0,5.01,US,1699661131
315,trairi,-3.2778,-39.2689,79.47,77,4,14.65,BR,1699661052
316,frontera,26.9333,-101.45,56.95,88,100,0.0,MX,1699661137
317,branson,36.6437,-93.2185,55.54,42,0,6.91,US,1699661141
318,santiago de cao,-7.9589,-79.2392,66.33,88,7,9.22,PE,1699661146
319,bardsir,29.9227,56.5743,51.3,27,16,2.13,IR,1699661149
320,sitia,35.2,26.0986,68.99,81,3,8.86,GR,1699661151
321,dapa,9.7594,126.0531,83.01,73,18,4.25,PH,1699661154
322,kroonstad,-27.6504,27.2349,68.7,41,6,8.01,ZA,1699661157
323,yorosso,12.3536,-4.7761,79.45,25,44,2.59,ML,1699661159
324,manokwari,-0.8667,134.0833,81.14,78,100,0.89,ID,1699661163
325,ribas do rio pardo,-20.4431,-53.7592,86.63,25,76,5.53,BR,1699660878
326,xining,36.6167,101.7667,29.3,55,1,0.85,CN,1699661143
327,altay,47.8667,88.1167,30.22,79,100,3.36,CN,1699661169
328,harstad,68.799,16.5293,32.61,96,41,1.99,NO,1699661171
329,guigue,10.0853,-67.7792,75.36,86,91,2.21,VE,1699661176
330,naze,28.3667,129.4833,68.92,68,99,11.41,JP,1699661182
331,labrador city,52.9463,-66.9114,19.31,86,100,0.0,CA,1699661185
332,freetown,8.484,-13.2299,77.72,83,100,4.61,SL,1699661187
333,urzhar,47.093,81.6294,41.45,90,100,3.8,KZ,1699661192
334,hanceville,34.0607,-86.7675,60.71,64,99,10.22,US,1699661064
335,howard springs,-12.497,131.047,87.87,69,3,4.25,AU,1699661197
336,mount gambier,-37.8333,140.7667,61.56,45,61,11.65,AU,1699661131
337,orcutt,34.8653,-120.436,74.19,61,0,10.36,US,1699661206
338,butembo,0.15,29.2833,57.6,94,96,2.8,CD,1699661207
339,rio grande,-32.035,-52.0986,66.31,88,92,22.77,BR,1699661046
340,remetea,46.7833,25.45,36.91,91,90,3.04,RO,1699661209
341,newman,37.3138,-121.0208,68.29,39,34,3.0,US,1699661210
342,gorontalo,0.5412,123.0595,83.21,77,21,1.79,ID,1699661213
343,kiffa,16.6166,-11.4045,79.9,14,0,9.46,MR,1699661217
344,sierra grande,-41.606,-65.3557,77.58,11,100,17.54,AR,1699661219
345,barah,13.7,30.3667,80.01,42,44,1.83,SD,1699661223
346,katima mulilo,-17.5,24.2667,77.85,40,91,4.36,NA,1699661227
347,leava,-14.3,-178.1667,80.17,84,100,6.08,WF,1699661229
348,vyara,21.1167,73.4,74.46,62,22,5.39,IN,1699661232
349,jianshui,23.6363,102.8264,60.12,93,2,1.74,CN,1699661236
350,zhigalovo,54.8097,105.1578,3.0,98,44,1.19,RU,1699661237
351,beau vallon,-20.4189,57.6953,76.21,80,19,5.86,MU,1699661240
352,nabire,-3.3667,135.4833,83.95,68,91,3.94,ID,1699661242
353,itamaraca,-7.7478,-34.8256,80.65,74,19,9.73,BR,1699661152
354,auray,47.6703,-2.9918,52.75,87,100,8.05,FR,1699661244
355,bandarbeyla,9.4942,50.8122,79.75,84,97,16.2,SO,1699661249
356,broken hill,-31.95,141.4333,89.24,22,42,12.86,AU,1699661251
357,ancud,-41.8697,-73.8203,51.57,76,93,23.85,CL,1699661254
358,al ghayzah,16.2079,52.176,80.28,71,43,4.52,YE,1699661255
359,grand gaube,-20.0064,57.6608,76.37,76,15,1.01,MU,1699661257
360,kholmsk,47.0511,142.0569,30.13,81,97,18.5,RU,1699661259
361,faya-largeau,17.9257,19.1043,79.72,24,87,12.12,TD,1699661123
362,sitka,57.0531,-135.33,46.29,66,100,18.41,US,1699661186
363,nephi,39.7102,-111.8363,47.75,29,94,3.96,US,1699661267
364,launceston,-41.45,147.1667,72.34,68,100,16.11,AU,1699660973
365,sault ste. marie,46.5168,-84.3333,34.36,75,100,6.91,CA,1699661150
